ORIG_AMT,ORIG_TRM,NUM_BO,DTI,PROP_TYP,reperformance_flag,Loan.Age,FicoBkt,LAST_VAL,MLTV,Default_bin
60,360,2,50,SF,0,39,780,167.736265,35,0
203,360,1,40,SF,1,24,620,404.0693706,50,0
137,360,2,65,SF,1,34,700,211.0206059,55,0
85,360,2,35,SF,0,12,700,97.50999389,90,0
63,360,1,40,SF,1,19,620,71.77974159,90,0
245,360,1,45,SF,0,38,780,291.1219153,85,0
213,360,2,25,SF,0,48,740,352.2207095,55,0
141,360,2,25,SF,0,30,740,210.0314186,65,0
88,240,2,30,SF,1,33,620,123.9292538,70,0
217,360,2,35,SF,0,4,620,297.0152392,75,0
82,360,1,45,SF,0,28,840,139.1241274,60,0
240,360,2,20,SF,0,7,740,414.7387935,60,0
57,360,2,20,SF,0,42,660,85.39568492,65,0
117,360,2,35,SF,0,6,740,129.9146456,95,0
79,360,1,55,SF,0,4,660,89.23055276,90,1
95,360,2,40,SF,1,57,840,212.9786289,45,0
75,360,2,25,SF,0,31,780,117.8885817,65,0
110,360,1,50,SF,0,21,700,139.4375935,80,0
246,360,2,30,SF,0,6,660,349.8270338,75,0
161,360,2,25,SF,0,25,780,311.4523788,55,0
145,360,2,45,SF,0,22,700,205.9554886,70,0
131,360,2,35,SF,0,13,780,158.2828509,75,0
123,180,2,20,SF,1,23,700,179.0888152,65,0
163,360,1,15,SF,1,25,700,190.1553319,85,0
166,360,2,35,SF,0,14,700,191.3345805,90,0
92,180,1,50,SF,0,28,740,128.7196149,65,0
128,360,1,50,SF,0,28,780,155.768152,85,0
181,360,2,45,SF,0,12,740,241.9898655,75,0
151,360,2,25,SF,0,29,780,194.45256,80,0
253,360,2,35,SF,0,18,780,613.6998787,40,0
194,360,2,40,SF,0,15,840,221.6534543,90,0
90,180,2,30,SF,0,33,840,150.0843968,55,0
81,360,2,25,SF,0,26,780,142.5207405,60,0
100,360,2,20,SF,0,2,780,137.3302017,75,0
104,180,2,35,SF,0,24,780,356.6804863,30,0
253,360,1,45,SF,0,25,780,558.1638363,45,0
